Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
581.18	4	257	30	FullDelay	2.38046	2.38046e+06	3	3
581.18	5	257	30	LastDelay	0.0804649	80464.9	1	3
581.18	5	257	30	FullDelay	90.8805	9.08805e+07	11	3
581.182	8	257	74	LastDelay	3.38229	3.38229e+06	1	5
581.182	8	257	74	FullDelay	81.5823	8.15823e+07	5	5
581.182	10	257	74	LastDelay	0.182293	182293	1	5
581.182	10	257	74	FullDelay	168.882	1.68882e+08	13	5
581.189	4	257	22	LastDelay	0.0889609	88960.9	1	3
581.189	4	257	22	FullDelay	73.989	7.3989e+07	11	3
581.189	5	257	22	LastDelay	2.18896	2.18896e+06	1	3
581.189	5	257	22	FullDelay	5.18896	5.18896e+06	2	3
581.218	9	257	7	LastDelay	0.0178853	17885.3	1	6
581.218	9	257	7	FullDelay	9.71789	9.71789e+06	6	6
581.219	6	257	27	LastDelay	0.0193555	19355.5	1	5
581.219	6	257	27	FullDelay	79.1194	7.91194e+07	9	5
581.223	10	257	1	LastDelay	0.0227611	22761.1	1	5
581.223	10	257	1	FullDelay	0.0227611	22761.1	1	5
581.234	6	257	20	LastDelay	0.834449	834449	1	5
581.234	6	257	20	FullDelay	0.834449	834449	1	5
581.234	8	257	20	LastDelay	0.0344489	34448.9	1	5
581.234	8	257	20	FullDelay	40.7344	4.07344e+07	8	5
581.234	7	257	20	LastDelay	3.63445	3.63445e+06	1	5
581.234	7	257	20	FullDelay	3.63445	3.63445e+06	1	5
581.234	2	257	20	LastDelay	0.134449	134449	1	5
581.234	2	257	20	FullDelay	31.9344	3.19344e+07	4	5
581.249	1	257	19	LastDelay	0.0486785	48678.5	1	3
581.249	1	257	19	FullDelay	39.2487	3.92487e+07	5	3
581.249	0	257	19	LastDelay	1.74868	1.74868e+06	1	3
581.249	0	257	19	FullDelay	1.74868	1.74868e+06	1	3
581.259	4	257	24	LastDelay	0.0592703	59270.3	1	3
581.259	4	257	24	FullDelay	88.5593	8.85593e+07	13	3
581.26	6	257	7	LastDelay	1.55995	1.55995e+06	1	5
581.26	6	257	7	FullDelay	1.55995	1.55995e+06	1	5
581.26	8	257	7	LastDelay	0.159953	159953	1	5
581.26	8	257	7	FullDelay	11.66	1.166e+07	3	5
581.26	7	257	7	LastDelay	1.45995	1.45995e+06	1	5
581.26	7	257	7	FullDelay	1.45995	1.45995e+06	1	5
581.26	2	257	7	LastDelay	1.15995	1.15995e+06	1	5
581.26	2	257	7	FullDelay	2.25995	2.25995e+06	2	5
581.268	8	257	11	LastDelay	1.06845	1.06845e+06	1	5
581.268	8	257	11	FullDelay	1.06845	1.06845e+06	1	5
